SampleID;Transect;TransectX;x;Random;St_Larvae;YesNo;Depth;Depth_Bin;Velocity;VelocityBin;Froude;PhotoID;NCoverCL;Richness;Sper;SDI;TransectGroup;TGr;CoverCL;Cover_Class;Isonychiidae;Heptaginiidae;Perlidae;Perlodidae;Crayfish;Baetidae;Ephemerellidae;Hydropsychidae;Coenagrionidae;Gomphidae;Amphipoda;Lepidostomatidae;Thaumaleidae;Helicopsychidae;Chironomidae;Leptoceridae;Aeshnidae;Phryganeidae;Psephenidae;Elmidae;Athericidae;Philopotamidae;Brachycentridae;Caliopterygidae;Corydalidae;Diptera_sp;Glossosomatidae;Limnephilidae;Empididae;Pyralidae;Polycentropodidae;Simuliidae;Leptophlebiidae;Baetiscidae;Hydrophilidae;Annelida;Tabanidae;Odontoceridae;Ntot;EPTrichness;EPTN;SmoothBedrock;Fine;FMGravel;CoarseGravel;VeryCGravel;SmallCobble;LargeCobble;SAV;WoodDebris;InterSpace;Mussels;SubInd;Avg_Rock_Size;Med_Rock_Size;med_RS;Coeff_Var;Hyd;Lep;Eph;Hep;Elm;Iso;Bae;Bra;Gom;Chi
TS1;1,1;1;0;17;0;No;0,79;0,76-1,0;0,29;0,25-0,5;0,104171747;2873;6;1;0,03;0;One;1;Seven;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,000229708;0,059274254;0,081507339;0,277702377;0,566445981;0;0;0;0,0148;0;0,054325106;18,0789;8,5975;8,5975;1,307234148;0;0;0;0;1;0;0;0;0;0
TS2;1,2;1;0;6;0;No;0,16;0-0,5;0,59;0,51-0,75;0,470931257;2874;6;1;0,03;0;One;1;Five;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0,021722083;0,107766417;0,555222417;0,267871667;0;0;0;0;0,018228083;0,029189333;0,046117023;11,4550039;7,125254154;7,125254154;1,019748396;0;0;0;0;0;0;0;0;0;0
TS3;2,1;2;20;12;3;Yes;0,82;0,76-1,0;0,63;0,51-0,75;0,222125859;2875;6;2;0,05;0,732;One;1;Five;5;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0,1625;0,2308;0,3179;0,1709;0;0;0;0,1179;0;0;0,038547;9,5;6,65;6,65;0,833597301;0;0;0;1;0;0;0;0;1;0
TS4;2,2;2;20;8;1;Yes;0,55;0,51-0,75;0,73;0,51-0,75;0,314272957;2876;5;5;0,13;1,55;One;1;Five;5;0;2;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;5;0;0,176037328;0,108289392;0,323779067;0,314121459;0,077772755;0;0;0;0;0;0,046174087;13,77443548;8,6625;8,6625;0,901875539;1;0;1;1;1;0;0;0;1;0
TS5;3,1;3;40;8;0;No;0,34;0-0,5;0,85;0,75-1,0;0,465419916;2877;5;4;0,11;1,332;One;1;Six;6;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;10;0;0,1221;0,0834;0,2225;0,3045;0,2675;0;0;0;0;0;0,049399;14,97;7,84;7,84;1,092072908;1;0;0;1;0;1;1;0;0;0
TS6;3,2;3;40;10;1;Yes;0,5;0-0,5;0,91;0,75-1,0;0,410886513;2878;7;6;0,16;1,538;One;1;Six;6;5;6;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;4;16;0;0,1382;0,1648;0,2149;0,3674;0,1083;0;0;0;0,0064;0;0,046351;6,22;3,26;3,26;1,379309953;1;0;0;1;1;1;0;0;0;0
TS7;4,1;4;60;13;0;No;0,72;0,51-0,75;0,6;0,51-0,75;0,22576182;2879;7;9;0,24;1,819;One;1;Six;6;1;5;0;0;0;2;10;7;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30;5;25;0;0,0919;0,1642;0,1584;0,4836;0,0993;0;0;0;0;0,0026;0,047383;8,94;4,95;4,945;1,234670309;1;0;1;1;1;1;1;0;1;1
TS8;4,2;4;60;15;3;Yes;0,8;0,76-1,0;0,75;0,51-0,75;0,267720586;2880;6;9;0,24;2,048;One;1;Six;6;0;5;1;0;0;3;4;3;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;6;18;0;0,1235;0,095;0,1117;0,3985;0,2713;0;0;0;0;0;0,049293;11,84;6,76;6,755;1,221618195;1;1;1;1;1;0;1;0;1;0
TS9;5,1;5;80;10;0;No;0,88;0,76-1,0;0,68;0,51-0,75;0,23143715;2881;8;6;0,16;1,519;One;1;Six;6;1;0;0;0;0;1;4;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;5;12;0;0,0737;0,1139;0,2573;0,3436;0,2044;0;0;0,0004;0,0067;0;0,049076;12,83;7,79;7,75;1,062361338;1;0;1;0;1;1;1;0;0;0
TS10;5,2;5;80;8;3;Yes;0,74;0,51-0,75;0,74;0,51-0,75;0,274651108;2882;7;9;0,24;1,84;One;1;Six;6;3;7;0;0;0;1;6;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;29;6;26;0;0,1212;0,1766;0,2898;0,3895;0;0;0;0;0,0046;0,0183;0,044665;7,38;4,13;4,115;1,203140225;1;0;1;1;1;1;1;0;0;0
TS11;6,1;6;100;12;0;No;1,16;1,01-1,5;0,49;0,25-0,5;0,145255499;2883;5;4;0,11;1,277;Two;2;Seven;7;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;7;0;0,0989;0,0899;0,1649;0,2699;0,3764;0;0;0;0;0;0,050887;15,82;9,38;9,38;1,028882197;0;0;1;1;0;1;0;0;0;0
TS12;6,2;6;100;13;0;No;1;0,76-1,0;0,53;0,51-0,75;0,169215977;2884;7;4;0,11;1,277;Two;2;Six;6;6;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;14;0;0,0818;0,0672;0,0894;0,5483;0,1821;0;0;0;0,0152;0,016;0,047953;16,85;9,65;9,8;1,001746358;1;0;0;1;0;1;0;0;0;0
